gatunek,gleba,jakosc_powietrza,temperatura,poziom_nawodnienia,wyksztalcenie_siewki
jodla,czarnoziem,zla,wysoka,niski,niepowodzenie
swierk,czarnoziem,zla,wysoka,niski,niepowodzenie
sosna,czarnoziem,zla,wysoka,niski,powodzenie
dab,czarnoziem,zla,wysoka,niski,niepowodzenie
brzoza,czarnoziem,zla,wysoka,niski,niepowodzenie
buk,bielicowa,zla,wysoka,umiarkowany,powodzenie
jodla,bielicowa,zla,wysoka,umiarkowany,powodzenie
swierk,bielicowa,zla,wysoka,umiarkowany,powodzenie
sosna,bielicowa,zla,wysoka,umiarkowany,powodzenie
dab,bielicowa,zla,wysoka,umiarkowany,niepowodzenie
brzoza,bielicowa,zla,wysoka,umiarkowany,niepowodzenie
buk,plowa,zla,wysoka,umiarkowany,niepowodzenie
jodla,plowa,zla,wysoka,umiarkowany,powodzenie
swierk,plowa,zla,wysoka,umiarkowany,niepowodzenie
sosna,plowa,zla,wysoka,umiarkowany,powodzenie
dab,plowa,zla,wysoka,umiarkowany,niepowodzenie
brzoza,plowa,zla,wysoka,umiarkowany,powodzenie
buk,brunatna,zla,wysoka,umiarkowany,powodzenie
jodla,brunatna,zla,wysoka,umiarkowany,powodzenie
swierk,brunatna,zla,wysoka,umiarkowany,niepowodzenie
sosna,brunatna,zla,wysoka,umiarkowany,niepowodzenie
dab,brunatna,zla,wysoka,umiarkowany,niepowodzenie
brzoza,brunatna,zla,wysoka,umiarkowany,niepowodzenie
buk,czarnoziem,zla,wysoka,umiarkowany,niepowodzenie
jodla,czarnoziem,zla,wysoka,umiarkowany,niepowodzenie
swierk,czarnoziem,zla,wysoka,umiarkowany,niepowodzenie
sosna,czarnoziem,zla,wysoka,umiarkowany,niepowodzenie
dab,czarnoziem,zla,wysoka,umiarkowany,niepowodzenie
brzoza,czarnoziem,zla,wysoka,umiarkowany,niepowodzenie
buk,bielicowa,zla,wysoka,wysoki,niepowodzenie
jodla,bielicowa,zla,wysoka,wysoki,niepowodzenie
swierk,bielicowa,zla,wysoka,wysoki,niepowodzenie
sosna,bielicowa,zla,wysoka,wysoki,niepowodzenie
dab,bielicowa,zla,wysoka,wysoki,niepowodzenie
brzoza,bielicowa,zla,wysoka,wysoki,powodzenie
buk,plowa,zla,wysoka,wysoki,powodzenie
jodla,plowa,zla,wysoka,wysoki,niepowodzenie
swierk,plowa,zla,wysoka,wysoki,powodzenie
sosna,plowa,zla,wysoka,wysoki,niepowodzenie
dab,plowa,zla,wysoka,wysoki,niepowodzenie
brzoza,plowa,zla,wysoka,wysoki,niepowodzenie
buk,brunatna,zla,wysoka,wysoki,niepowodzenie
jodla,brunatna,zla,wysoka,wysoki,niepowodzenie
swierk,brunatna,zla,wysoka,wysoki,powodzenie
sosna,brunatna,zla,wysoka,wysoki,niepowodzenie
dab,brunatna,zla,wysoka,wysoki,powodzenie
brzoza,brunatna,zla,wysoka,wysoki,niepowodzenie
buk,czarnoziem,zla,wysoka,wysoki,powodzenie
jodla,czarnoziem,zla,wysoka,wysoki,niepowodzenie
swierk,czarnoziem,zla,wysoka,wysoki,niepowodzenie
sosna,czarnoziem,zla,wysoka,wysoki,niepowodzenie
dab,czarnoziem,zla,wysoka,wysoki,niepowodzenie
brzoza,czarnoziem,zla,wysoka,wysoki,niepowodzenie
buk,bielicowa,umiarkowana,niska,niski,niepowodzenie
jodla,bielicowa,umiarkowana,niska,niski,niepowodzenie
swierk,bielicowa,umiarkowana,niska,niski,niepowodzenie
sosna,bielicowa,umiarkowana,niska,niski,niepowodzenie
dab,bielicowa,umiarkowana,niska,niski,niepowodzenie
brzoza,bielicowa,umiarkowana,niska,niski,niepowodzenie
buk,plowa,umiarkowana,niska,niski,niepowodzenie
jodla,plowa,umiarkowana,niska,niski,powodzenie
swierk,plowa,umiarkowana,niska,niski,powodzenie
sosna,plowa,umiarkowana,niska,niski,powodzenie
dab,plowa,umiarkowana,niska,niski,powodzenie
brzoza,plowa,umiarkowana,niska,niski,powodzenie
buk,brunatna,umiarkowana,niska,niski,powodzenie
jodla,brunatna,umiarkowana,niska,niski,powodzenie
swierk,brunatna,umiarkowana,niska,niski,niepowodzenie
sosna,brunatna,umiarkowana,niska,niski,powodzenie
dab,brunatna,umiarkowana,niska,niski,niepowodzenie
brzoza,brunatna,umiarkowana,niska,niski,niepowodzenie
buk,czarnoziem,umiarkowana,niska,niski,niepowodzenie
jodla,czarnoziem,umiarkowana,niska,niski,powodzenie
swierk,czarnoziem,umiarkowana,niska,niski,powodzenie
sosna,czarnoziem,umiarkowana,niska,niski,powodzenie
dab,czarnoziem,umiarkowana,niska,niski,niepowodzenie
brzoza,czarnoziem,umiarkowana,niska,niski,powodzenie
buk,bielicowa,umiarkowana,niska,umiarkowany,niepowodzenie
jodla,bielicowa,umiarkowana,niska,umiarkowany,niepowodzenie
swierk,bielicowa,umiarkowana,niska,umiarkowany,niepowodzenie
sosna,bielicowa,umiarkowana,niska,umiarkowany,niepowodzenie
dab,bielicowa,umiarkowana,niska,umiarkowany,niepowodzenie
brzoza,bielicowa,umiarkowana,niska,umiarkowany,niepowodzenie
buk,plowa,umiarkowana,niska,umiarkowany,niepowodzenie
jodla,plowa,umiarkowana,niska,umiarkowany,niepowodzenie
swierk,plowa,umiarkowana,niska,umiarkowany,powodzenie
sosna,plowa,umiarkowana,niska,umiarkowany,powodzenie
dab,plowa,umiarkowana,niska,umiarkowany,powodzenie
brzoza,plowa,umiarkowana,niska,umiarkowany,powodzenie
buk,brunatna,umiarkowana,niska,umiarkowany,niepowodzenie
jodla,brunatna,umiarkowana,niska,umiarkowany,powodzenie
swierk,brunatna,umiarkowana,niska,umiarkowany,niepowodzenie
sosna,brunatna,umiarkowana,niska,umiarkowany,powodzenie
dab,brunatna,umiarkowana,niska,umiarkowany,niepowodzenie
brzoza,brunatna,umiarkowana,niska,umiarkowany,niepowodzenie
buk,czarnoziem,umiarkowana,niska,umiarkowany,niepowodzenie
jodla,czarnoziem,umiarkowana,niska,umiarkowany,niepowodzenie
swierk,czarnoziem,umiarkowana,niska,umiarkowany,niepowodzenie
sosna,czarnoziem,umiarkowana,niska,umiarkowany,niepowodzenie
dab,czarnoziem,umiarkowana,niska,umiarkowany,niepowodzenie
brzoza,czarnoziem,umiarkowana,niska,umiarkowany,niepowodzenie
buk,bielicowa,umiarkowana,niska,wysoki,niepowodzenie
jodla,bielicowa,umiarkowana,niska,wysoki,niepowodzenie
swierk,bielicowa,umiarkowana,niska,wysoki,niepowodzenie
sosna,bielicowa,umiarkowana,niska,wysoki,niepowodzenie
dab,bielicowa,umiarkowana,niska,wysoki,niepowodzenie
brzoza,bielicowa,umiarkowana,niska,wysoki,niepowodzenie
buk,plowa,umiarkowana,niska,wysoki,niepowodzenie
jodla,plowa,umiarkowana,niska,wysoki,niepowodzenie
swierk,plowa,umiarkowana,niska,wysoki,niepowodzenie
sosna,plowa,umiarkowana,niska,wysoki,niepowodzenie
dab,plowa,umiarkowana,niska,wysoki,niepowodzenie
brzoza,plowa,umiarkowana,niska,wysoki,niepowodzenie
buk,brunatna,umiarkowana,niska,wysoki,niepowodzenie
jodla,brunatna,umiarkowana,niska,wysoki,niepowodzenie
swierk,brunatna,umiarkowana,niska,wysoki,niepowodzenie
sosna,brunatna,umiarkowana,niska,wysoki,niepowodzenie
dab,brunatna,umiarkowana,niska,wysoki,niepowodzenie
brzoza,brunatna,umiarkowana,niska,wysoki,niepowodzenie
buk,czarnoziem,umiarkowana,niska,wysoki,niepowodzenie
jodla,czarnoziem,umiarkowana,niska,wysoki,niepowodzenie
swierk,czarnoziem,umiarkowana,niska,wysoki,niepowodzenie
sosna,czarnoziem,umiarkowana,niska,wysoki,powodzenie
dab,czarnoziem,umiarkowana,niska,wysoki,niepowodzenie
brzoza,czarnoziem,umiarkowana,niska,wysoki,powodzenie
buk,bielicowa,umiarkowana,umiarkowana,niski,niepowodzenie
jodla,bielicowa,umiarkowana,umiarkowana,niski,powodzenie
swierk,bielicowa,umiarkowana,umiarkowana,niski,niepowodzenie
sosna,bielicowa,umiarkowana,umiarkowana,niski,niepowodzenie
dab,bielicowa,umiarkowana,umiarkowana,niski,niepowodzenie
brzoza,bielicowa,umiarkowana,umiarkowana,niski,powodzenie
buk,plowa,umiarkowana,umiarkowana,niski,powodzenie
jodla,plowa,umiarkowana,umiarkowana,niski,niepowodzenie
swierk,plowa,umiarkowana,umiarkowana,niski,powodzenie
sosna,plowa,umiarkowana,umiarkowana,niski,niepowodzenie
dab,plowa,umiarkowana,umiarkowana,niski,niepowodzenie
brzoza,plowa,umiarkowana,umiarkowana,niski,niepowodzenie
buk,brunatna,umiarkowana,umiarkowana,niski,powodzenie
jodla,brunatna,umiarkowana,umiarkowana,niski,powodzenie
swierk,brunatna,umiarkowana,umiarkowana,niski,powodzenie
sosna,brunatna,umiarkowana,umiarkowana,niski,powodzenie
dab,brunatna,umiarkowana,umiarkowana,niski,niepowodzenie
brzoza,brunatna,umiarkowana,umiarkowana,niski,niepowodzenie
buk,czarnoziem,umiarkowana,umiarkowana,niski,powodzenie
jodla,czarnoziem,umiarkowana,umiarkowana,niski,powodzenie
swierk,czarnoziem,umiarkowana,umiarkowana,niski,powodzenie
sosna,czarnoziem,umiarkowana,umiarkowana,niski,powodzenie
dab,czarnoziem,umiarkowana,umiarkowana,niski,powodzenie
brzoza,czarnoziem,umiarkowana,umiarkowana,niski,powodzenie
buk,bielicowa,umiarkowana,umiarkowana,umiarkowany,powodzenie
jodla,bielicowa,umiarkowana,umiarkowana,umiarkowany,powodzenie
swierk,bielicowa,umiarkowana,umiarkowana,umiarkowany,niepowodzenie
sosna,bielicowa,umiarkowana,umiarkowana,umiarkowany,niepowodzenie
dab,bielicowa,umiarkowana,umiarkowana,umiarkowany,niepowodzenie
brzoza,bielicowa,umiarkowana,umiarkowana,umiarkowany,niepowodzenie
buk,plowa,umiarkowana,umiarkowana,umiarkowany,niepowodzenie
jodla,plowa,umiarkowana,umiarkowana,umiarkowany,powodzenie
swierk,plowa,umiarkowana,umiarkowana,umiarkowany,powodzenie
sosna,plowa,umiarkowana,umiarkowana,umiarkowany,powodzenie
dab,plowa,umiarkowana,umiarkowana,umiarkowany,powodzenie
brzoza,plowa,umiarkowana,umiarkowana,umiarkowany,powodzenie
buk,brunatna,umiarkowana,umiarkowana,umiarkowany,powodzenie
jodla,brunatna,umiarkowana,umiarkowana,umiarkowany,powodzenie
swierk,brunatna,umiarkowana,umiarkowana,umiarkowany,powodzenie
sosna,brunatna,umiarkowana,umiarkowana,umiarkowany,powodzenie
dab,brunatna,umiarkowana,umiarkowana,umiarkowany,powodzenie
brzoza,brunatna,umiarkowana,umiarkowana,umiarkowany,powodzenie
buk,czarnoziem,umiarkowana,umiarkowana,umiarkowany,powodzenie
jodla,czarnoziem,umiarkowana,umiarkowana,umiarkowany,powodzenie
swierk,czarnoziem,umiarkowana,umiarkowana,umiarkowany,powodzenie
sosna,czarnoziem,umiarkowana,umiarkowana,umiarkowany,powodzenie
dab,czarnoziem,umiarkowana,umiarkowana,umiarkowany,powodzenie
brzoza,czarnoziem,umiarkowana,umiarkowana,umiarkowany,powodzenie
buk,bielicowa,umiarkowana,umiarkowana,wysoki,powodzenie
jodla,bielicowa,umiarkowana,umiarkowana,wysoki,powodzenie
swierk,bielicowa,umiarkowana,umiarkowana,wysoki,powodzenie
sosna,bielicowa,umiarkowana,umiarkowana,wysoki,niepowodzenie
dab,bielicowa,umiarkowana,umiarkowana,wysoki,powodzenie
brzoza,bielicowa,umiarkowana,umiarkowana,wysoki,powodzenie
buk,plowa,umiarkowana,umiarkowana,wysoki,niepowodzenie
jodla,plowa,umiarkowana,umiarkowana,wysoki,niepowodzenie
swierk,plowa,umiarkowana,umiarkowana,wysoki,niepowodzenie
sosna,plowa,umiarkowana,umiarkowana,wysoki,niepowodzenie
dab,plowa,umiarkowana,umiarkowana,wysoki,niepowodzenie
brzoza,plowa,umiarkowana,umiarkowana,wysoki,powodzenie
buk,brunatna,umiarkowana,umiarkowana,wysoki,powodzenie
jodla,brunatna,umiarkowana,umiarkowana,wysoki,powodzenie
swierk,brunatna,umiarkowana,umiarkowana,wysoki,powodzenie
sosna,brunatna,umiarkowana,umiarkowana,wysoki,niepowodzenie
dab,brunatna,umiarkowana,umiarkowana,wysoki,powodzenie
brzoza,brunatna,umiarkowana,umiarkowana,wysoki,powodzenie
buk,czarnoziem,umiarkowana,umiarkowana,wysoki,niepowodzenie
jodla,czarnoziem,umiarkowana,umiarkowana,wysoki,niepowodzenie
swierk,czarnoziem,umiarkowana,umiarkowana,wysoki,powodzenie
sosna,czarnoziem,umiarkowana,umiarkowana,wysoki,niepowodzenie
dab,czarnoziem,umiarkowana,umiarkowana,wysoki,niepowodzenie
brzoza,czarnoziem,umiarkowana,umiarkowana,wysoki,niepowodzenie
buk,bielicowa,umiarkowana,wysoka,niski,niepowodzenie
jodla,bielicowa,umiarkowana,wysoka,niski,niepowodzenie
swierk,bielicowa,umiarkowana,wysoka,niski,niepowodzenie
sosna,bielicowa,umiarkowana,wysoka,niski,niepowodzenie
dab,bielicowa,umiarkowana,wysoka,niski,niepowodzenie
brzoza,bielicowa,umiarkowana,wysoka,niski,niepowodzenie
buk,plowa,umiarkowana,wysoka,niski,niepowodzenie
jodla,plowa,umiarkowana,wysoka,niski,niepowodzenie
swierk,plowa,umiarkowana,wysoka,niski,niepowodzenie
sosna,plowa,umiarkowana,wysoka,niski,niepowodzenie
dab,plowa,umiarkowana,wysoka,niski,powodzenie
brzoza,plowa,umiarkowana,wysoka,niski,niepowodzenie
buk,brunatna,umiarkowana,wysoka,niski,niepowodzenie
jodla,brunatna,umiarkowana,wysoka,niski,niepowodzenie
swierk,brunatna,umiarkowana,wysoka,niski,niepowodzenie
sosna,brunatna,umiarkowana,wysoka,niski,niepowodzenie
dab,brunatna,umiarkowana,wysoka,niski,powodzenie
brzoza,brunatna,umiarkowana,wysoka,niski,niepowodzenie
buk,czarnoziem,umiarkowana,wysoka,niski,niepowodzenie
jodla,czarnoziem,umiarkowana,wysoka,niski,niepowodzenie
swierk,czarnoziem,umiarkowana,wysoka,niski,niepowodzenie
sosna,czarnoziem,umiarkowana,wysoka,niski,powodzenie
dab,czarnoziem,umiarkowana,wysoka,niski,niepowodzenie
brzoza,czarnoziem,umiarkowana,wysoka,niski,niepowodzenie
buk,bielicowa,umiarkowana,wysoka,umiarkowany,powodzenie
jodla,bielicowa,umiarkowana,wysoka,umiarkowany,powodzenie
swierk,bielicowa,umiarkowana,wysoka,umiarkowany,powodzenie
sosna,bielicowa,umiarkowana,wysoka,umiarkowany,powodzenie
dab,bielicowa,umiarkowana,wysoka,umiarkowany,niepowodzenie
brzoza,bielicowa,umiarkowana,wysoka,umiarkowany,niepowodzenie
buk,plowa,umiarkowana,wysoka,umiarkowany,niepowodzenie
jodla,plowa,umiarkowana,wysoka,umiarkowany,powodzenie
swierk,plowa,umiarkowana,wysoka,umiarkowany,niepowodzenie
sosna,plowa,umiarkowana,wysoka,umiarkowany,powodzenie
dab,plowa,umiarkowana,wysoka,umiarkowany,niepowodzenie
brzoza,plowa,umiarkowana,wysoka,umiarkowany,powodzenie
buk,brunatna,umiarkowana,wysoka,umiarkowany,powodzenie
jodla,brunatna,umiarkowana,wysoka,umiarkowany,powodzenie
swierk,brunatna,umiarkowana,wysoka,umiarkowany,niepowodzenie
sosna,brunatna,umiarkowana,wysoka,umiarkowany,powodzenie
dab,brunatna,umiarkowana,wysoka,umiarkowany,niepowodzenie
brzoza,brunatna,umiarkowana,wysoka,umiarkowany,powodzenie
buk,czarnoziem,umiarkowana,wysoka,umiarkowany,niepowodzenie
jodla,czarnoziem,umiarkowana,wysoka,umiarkowany,powodzenie
swierk,czarnoziem,umiarkowana,wysoka,umiarkowany,powodzenie
sosna,czarnoziem,umiarkowana,wysoka,umiarkowany,powodzenie
dab,czarnoziem,umiarkowana,wysoka,umiarkowany,niepowodzenie
brzoza,czarnoziem,umiarkowana,wysoka,umiarkowany,powodzenie
buk,bielicowa,umiarkowana,wysoka,wysoki,niepowodzenie
jodla,bielicowa,umiarkowana,wysoka,wysoki,powodzenie
swierk,bielicowa,umiarkowana,wysoka,wysoki,niepowodzenie
sosna,bielicowa,umiarkowana,wysoka,wysoki,niepowodzenie
dab,bielicowa,umiarkowana,wysoka,wysoki,niepowodzenie
brzoza,bielicowa,umiarkowana,wysoka,wysoki,powodzenie
buk,plowa,umiarkowana,wysoka,wysoki,powodzenie
jodla,plowa,umiarkowana,wysoka,wysoki,niepowodzenie
swierk,plowa,umiarkowana,wysoka,wysoki,powodzenie
sosna,plowa,umiarkowana,wysoka,wysoki,niepowodzenie
dab,plowa,umiarkowana,wysoka,wysoki,niepowodzenie
brzoza,plowa,umiarkowana,wysoka,wysoki,niepowodzenie
buk,brunatna,umiarkowana,wysoka,wysoki,niepowodzenie
jodla,brunatna,umiarkowana,wysoka,wysoki,niepowodzenie
swierk,brunatna,umiarkowana,wysoka,wysoki,powodzenie
sosna,brunatna,umiarkowana,wysoka,wysoki,niepowodzenie
dab,brunatna,umiarkowana,wysoka,wysoki,powodzenie
brzoza,brunatna,umiarkowana,wysoka,wysoki,niepowodzenie
buk,czarnoziem,umiarkowana,wysoka,wysoki,powodzenie
jodla,czarnoziem,umiarkowana,wysoka,wysoki,powodzenie
swierk,czarnoziem,umiarkowana,wysoka,wysoki,niepowodzenie
sosna,czarnoziem,umiarkowana,wysoka,wysoki,powodzenie
dab,czarnoziem,umiarkowana,wysoka,wysoki,powodzenie
brzoza,czarnoziem,umiarkowana,wysoka,wysoki,powodzenie
buk,bielicowa,dobra,niska,niski,powodzenie
jodla,bielicowa,dobra,niska,niski,powodzenie
swierk,bielicowa,dobra,niska,niski,powodzenie
sosna,bielicowa,dobra,niska,niski,niepowodzenie
dab,bielicowa,dobra,niska,niski,niepowodzenie
brzoza,bielicowa,dobra,niska,niski,niepowodzenie
